Latitude,Longitude,Altitude,DateTime,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,H,D,I,F,geometry
53.3220219,12.930031199999998,0.10099999999999999,2014-10-01 13:00:00,19,142.96325557633565,739.021387751504,2.236842105263158,18280.993145068747,1009.7168851763654,46150.97814535297,18308.85683373653,3.1614143044256555,68.36095306662602,49650.04554208494,POINT (12.9300312 53.3220219)
53.1842372,12.656559399999999,0.11199999999999999,2014-10-01 13:30:00,20,155.8480939247376,771.1655168124122,2.2099999999999995,18357.7800603065,982.7697425291498,46075.91752810883,18384.067153636537,3.0643606561377705,68.2482406800352,49608.10519629332,POINT (12.6565594 53.1842372)
53.070336399999995,12.3151053,0.11599999999999999,2014-10-01 14:00:00,9,446.59194686956033,931.7988328892768,2.1,18417.1394141866,951.8169696196458,46007.420623128426,18441.718459656666,2.958473545752794,68.15700092445368,49565.91300620523,POINT (12.3151053 53.0703364)
52.97315129999999,11.9491926,0.105,2014-10-01 14:30:00,6,473.21559926545945,960.5265083685896,2.0,18471.803724639474,919.2499153720084,45944.794300329726,18494.66283143643,2.848976003887754,68.0731938508692,49527.53452927096,POINT (11.9491926 52.97315129999999)
52.9157313,11.7860604,0.105,2014-10-01 15:00:00,4,1112.8700470075112,1187.5514037493613,1.85,18501.15992153015,902.797392941862,45903.50863885201,18523.173636683758,2.7936347430016815,68.02473500441911,49499.89966587707,POINT (11.7860604 52.9157313)
52.9156532,11.781070800000002,0.107,2014-10-01 15:30:00,3,1112.5492913501241,1162.6489878568439,1.7000000000000002,18502.666949689108,901.2919383140445,45904.3426204141,18524.60556689906,2.788756792752929,68.0235592393784,49501.20890262736,POINT (11.7810708 52.9156532)
52.9157833,11.781055699999998,0.141,2014-10-01 16:00:00,3,1112.5445321464856,1162.644437635602,1.7000000000000002,18502.35913337367,901.2484323384749,45903.69672268178,18524.295998421334,2.7886687100133063,68.02361174640893,49500.49408889849,POINT (11.7810557 52.9157833)
52.9763253,11.697068,0.141,2014-10-01 16:30:00,0,,,,18487.23948851591,908.7198870395317,45940.69402780887,18509.559577116983,2.8140460251956214,68.05543656732361,49529.296012517654,POINT (11.697068 52.9763253)
52.9697748,11.649958900000001,0.14800000000000002,2014-10-01 17:00:00,0,,,,18491.504561544123,905.4618981680353,45934.5508324812,18513.65988125096,2.8033273880735274,68.04838062712491,49525.13061447128,POINT (11.6499589 52.9697748)
73.50263740000001,86.7095471,0.005,2014-08-27 21:30:00,30,104.64662197665447,669.8197895987516,3.93,4685.464642552805,2169.354653465217,59264.85244283621,5163.301127101118,24.843980753729525,85.0208218620041,59489.34705979107,POINT (86.70954709999999 73.50263740000001)
